id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Retransmit Rate,Average Swap Usage Percentage,Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time),MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record),MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Select),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Update),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Statement Prepare),Top 5 Command Usage (Show Status),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Set Option),workload_label,mem_size,num_cpu,label,Average Network Traffic Sent,Average Network Traffic Received,Average Disk IOPS (Read),Average Disk IOPS (Write),Average Disk Busy
0,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,66.44,95.47522727260365,2.431363636363177,0,0,0.0545454545454669,0,0.5404545454555708,1.2477272727265822,3.966400909538237,7978270720,201146351616,0,0,0.0035227884613037,0,0,0,99.5482212899577,1979.34,65486,0,50,17216,35.46000000089406,0,0,6.0,5,6,5,74,151,0,257.79466666666667,0,2069.064426666667,0,0,776.5750400000001,0,4148.470186666667,0,0,1113.9388800000002,466.5714133333334,1328.0340266666667,263.7,263.72,27944.76,395.52,1072922624,16777216,8388608,139252.32,2669069.1,79,2,16384,1227,4000,0,0,263.66,0,0.6,0,0,0,13177.32,131.82,114,2000,0,0.2,0,0.0,1846.26,1.0,0.0,0,0,0,66.3,4,9,0,2900.9,1977.8,0.0,0,0,263.7,263.7,923.44,1912.0,395.52,588,2.3876099745299584,45721317376,,,,,,,,,64-1000000-4-oltp_read_write_50-0.2,190,88,"[0.23115944 0.08913189 0.12127103 0.08933861 0.06005682 0.06307624
 0.06275793 0.05103735 0.05936972 0.05267778 0.0689716  0.0511516 ]",1508567.12,1506223.97,2580.98,6654.900000000001,99.05800000019372
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,70.12,95.27704545432196,2.6220454545436755,0,0,0.0561363636363642,0,0.5609090909091181,1.2545454545486336,4.003557791281082,8053010432,201146351616,0,0,0.0035227912789045,0,0,0,99.43274330675636,2077.58,65454,0,82,16890,36.64000000059604,0,0,5.666666666666667,5,6,5,74,151,0,0.0,0,0.36,0,0,0.0,0,0.0,0,0,200.76,0.0,100.56,276.88,276.88,29338.82,415.24,1072398336,16777216,8388608,146186.58000000002,2802228.1,79,2,16384,282,4000,0,0,276.78000000000003,0,0.6,0,0,0,13838.0,138.38,68,2000,0,0.2,0,0.2,1937.76,0.9998967986955356,0.2,0,0,0,69.58,4,9,0,3045.18,2076.44,0.0,0,0,276.88,276.88,969.08,2006.98,415.22,708,1.7530476604633694,33569824768,,,,,,,,,64-1000000-4-oltp_read_write_50-0.2,190,88,"[0.23115944 0.08913189 0.12127103 0.08933861 0.06005682 0.06307624
 0.06275793 0.05103735 0.05936972 0.05267778 0.0689716  0.0511516 ]",1599509.16,1594582.09,2638.58,6620.92,99.32799999974668
2,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,73.55,95.27113636379892,2.634999999998664,0,0,0.0570454545454801,0,0.5622727272729701,1.231363636363973,3.999931090651714,8045715456,201146351616,0,0,0.0035227512519004,0,0,0,99.3158477536452,2185.7200000000003,65451,0,85,16515,35.82000000029802,0,0,5.833333333333333,5,6,5,74,151,0,914.8,0,7318.94,0,0,2744.4,0,14646.72,0,0,3924.94,1646.3,4690.18,291.18,291.18,30873.5,436.8,1072349184,16777216,8388608,153773.6,2948638.84,79,2,16384,283,4000,0,0,291.26,0,0.62,0,0,0,14562.0,145.62,68,2000,0,0.2,0,0.2,2038.68,0.9999019069292944,0.2,0,0,0,73.22,4,9,0,3203.48,2183.96,0.0,0,0,291.18,291.2,1019.82,2111.48,436.8,828,1.7540863440651977,33589714944,,,,,,,,,64-1000000-4-oltp_read_write_50-0.2,190,88,"[0.23115944 0.08913189 0.12127103 0.08933861 0.06005682 0.06307624
 0.06275793 0.05103735 0.05936972 0.05267778 0.0689716  0.0511516 ]",1672408.0899999999,1670055.5999999999,2668.3,6578.68,99.1920000007376
3,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,81.39,95.17045454532752,2.6318181818176205,0,0,0.0615909090909247,0,0.5663636363637774,1.3220454545450742,3.564975447175641,7170818048,201146351616,0,0,0.0035227309087192,0,0,0,92.7305671266407,2445.84,64964,159,413,16608,38.019999999552965,0,0,5.833333333333333,5,6,5,5,151,0,268.0569416666667,0,2292.699806666667,0,0,858.5661366666668,0,4395.79,0,0,1233.4263966666667,487.1473933333333,1381.6228833333334,325.90000000000003,325.88,34555.74,488.94,1064370176,16777216,8388608,172082.82,3299722.48,79,2,16384,371,4000,0,0,326.0,0,0.58,0,0,0,16300.0,163.0,111,2000,0,0.2,0,0.2,2281.58,0.9999123491309416,0.2,0,0,0,81.88,0,9,0,3585.1800000000003,2444.28,0.0,0,0,325.90000000000003,325.90000000000003,1141.14,2363.04,488.92,93,1.7558411546643504,33623318528,,,,,,,,,64-1000000-4-oltp_read_write_50-0.6,190,88,"[0.3487761  0.01872445 0.13721321 0.07624631 0.0156647  0.02270148
 0.03604154 0.02214047 0.10876301 0.09218345 0.06198413 0.05956116]",1889557.73,1887342.2,2712.3,6685.78,99.25
4,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,83.92,95.11954545466736,2.6334090909091823,0,0,0.0599999999999725,0,0.5529545454543242,1.260000000000291,3.5546512629022686,7150051328,201146351616,0,0,0.0035226497972448,0,0,0,92.83518705032505,2510.12,64888,0,648,16614,37.160000000149005,0,0,6.0,5,6,5,5,151,0,0.0,0,0.44,0,0,0.0,0,0.0,0,0,251.28,0.0,125.74,334.32,334.34000000000003,35471.0,501.72,1063124992,16777216,8388608,176585.68,3387508.64,79,2,16384,283,4000,0,0,334.64,0,0.66,0,0,0,16732.0,167.32,68,2000,0,0.22,0,0.22,2341.38,0.9999060471472498,0.22,0,0,0,84.10000000000001,0,9,0,3679.0,2508.0,0.0,0,0,334.34000000000003,334.34000000000003,1171.24,2424.98,501.78,223,1.7542812041890232,33593446400,,,,,,,,,64-1000000-4-oltp_read_write_50-0.6,190,88,"[0.3487761  0.01872445 0.13721321 0.07624631 0.0156647  0.02270148
 0.03604154 0.02214047 0.10876301 0.09218345 0.06198413 0.05956116]",1919456.56,1917125.02,2637.88,6675.26,99.34800000023095
5,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,85.86,95.1624999999662,2.6395454545446304,0,0,0.0618181818181314,0,0.5602272727273472,1.277727272730152,3.5510062353185816,7142719488,201146351616,0,0,0.0035226539226403,0,0,0,92.85941041777016,2565.64,64860,0,676,16549,37.80000000074506,0,0,5.833333333333333,5,6,5,5,151,0,510.5713,0,4084.3660625,0,0,1531.5095625,0,8164.418333333334,0,0,2193.108979166667,918.8830333333334,2617.586079166667,341.88,341.88,36233.38,512.78,1062666240,16777216,8388608,180504.54,3459494.56,79,2,16384,282,4000,0,0,341.82,0,0.54,0,0,0,17092.0,170.92000000000002,68,2000,0,0.18,0,0.18,2393.28,0.9999247950665564,0.18,0,0,0,85.82000000000001,0,9,0,3760.76,2564.04,0.0,0,0,341.86,341.88,1197.02,2478.76,512.8,343,1.7540968250158828,33589915648,,,,,,,,,64-1000000-4-oltp_read_write_50-0.6,190,88,"[0.3487761  0.01872445 0.13721321 0.07624631 0.0156647  0.02270148
 0.03604154 0.02214047 0.10876301 0.09218345 0.06198413 0.05956116]",1957473.65,1955138.31,2657.4,6655.62,99.28600000031292
6,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,175.06,94.6652272727171,2.294090909091527,0,0,0.1059090909090759,0,0.7122727272727797,1.8600000000002923,3.547827526906218,7136325632,201146351616,0,0,0.0035225248461253,0,0,0,96.42554003792036,5307.18,64459,0,1077,20941,29.10000000149012,0,0,5.666666666666667,5,6,5,5,151,0,236.2,0,2138.9,0,0,796.84,0,3915.26,0,0,1166.44,432.74,1209.08,707.5,707.5,74988.64,1061.28,1056096256,16777216,8388608,373452.74,7154589.100000001,79,2,16384,387,4000,0,0,707.44,0,0.54,0,0,0,35376.0,353.76,111,2000,0,0.18,0,0.18,4952.16,0.9999636535455966,0.18,0,0,0,177.24,0,9,0,7782.16,5306.28,0.0,0,0,707.52,707.5,2476.12,5129.02,1061.3,100,1.7570592978094155,33646645248,,,,,,,,,64-1000000-4-oltp_read_write_50-1.0,190,88,"[0.20022387 0.01726908 0.0808545  0.0950711  0.01701759 0.03417517
 0.01894234 0.03287622 0.13248402 0.10056766 0.15400037 0.11651808]",4039214.4499999997,4036876.52,2162.06,7397.68,99.2280000001192
7,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,180.19,94.70795454563232,2.252045454546906,0,0,0.1074999999999642,0,0.7181818181824852,1.857500000001417,3.550806675149204,7142318080,201146351616,0,0,0.0035224812431245,0,0,0,96.58006232367022,5428.68,64299,0,1237,21506,32.73999999836087,0,0,5.666666666666667,5,6,5,5,151,0,225.84,0,2057.44,0,0,766.4,0,3759.32,0,0,1151.36,414.44,1171.38,723.62,723.64,76704.02,1085.28,1053474816,16777216,8388608,381962.16,7318621.54,79,2,16384,283,4000,0,0,723.64,0,0.64,0,0,0,36180.0,361.82,68,2000,0,0.22,0,0.22,5065.34,0.9999565694612244,0.22,0,0,0,181.32,0,9,0,7959.66,5426.92,0.0543609999999999,0,0,723.62,723.64,2533.08,5246.26,1085.3,220,1.7576015265842626,33657028608,,,,,,,,,64-1000000-4-oltp_read_write_50-1.0,190,88,"[0.20022387 0.01726908 0.0808545  0.0950711  0.01701759 0.03417517
 0.01894234 0.03287622 0.13248402 0.10056766 0.15400037 0.11651808]",4133632.56,4131286.7600000002,2107.42,7453.1,99.1220000004396
8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,183.01,94.82772727272555,2.260454545453052,0,0,0.1020454545454173,0,0.6838636363632289,1.844090909091164,3.5500125071281587,7140720640,201146351616,0,0,0.0035223565104389,0,0,0,96.62005189031028,5496.72,64273,0,1263,21494,39.41999999806285,0,0,6.0,5,6,5,5,151,0,320.46,0,2814.06,0,0,1050.06,0,5267.26,0,0,1551.04,584.76,1652.02,732.6800000000001,732.7,77672.26,1099.0,1053048832,16777216,8388608,386752.86,7409855.600000001,79,2,16384,282,4000,0,0,732.76,0,0.54,0,0,0,36636.0,366.36,68,2000,0,0.18,0,0.18,5128.9400000000005,0.999964906260723,0.18,0,0,0,183.52,0,9,0,8059.66,5495.12,0.0,0,0,732.6800000000001,732.6800000000001,2564.86,5312.12,1099.0,340,1.7576015265842626,33657028608,,,,,,,,,64-1000000-4-oltp_read_write_50-1.0,190,88,"[0.20022387 0.01726908 0.0808545  0.0950711  0.01701759 0.03417517
 0.01894234 0.03287622 0.13248402 0.10056766 0.15400037 0.11651808]",4196418.86,4194071.79,2107.36,7453.34,99.15199999976905
9,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,414.79,95.24704545473844,2.2043181818179693,0,0,0.0954545454545826,0,0.5511363636366475,1.7095454545436928,3.4863304134829747,7012626432,201146351616,0,0,0.0035223015037696,0,0,0,87.7976933078555,6644.04,65214,0,322,0,81.83999999985099,0,0,5.666666666666667,5,6,5,5,151,0,640.1266183333332,0,5330.508303333334,0,0,1994.6879683333327,0,10353.681236666667,0,0,2871.13682,1159.0791283333333,3277.535598333333,0.0,0.0,171877.46,0.0,1068466176,16777216,8388608,169890.0,16621588.78,79,2,16384,387,4000,0,0,1660.74,0,0.68,0,0,0,83033.44,830.36,111,2000,0,0.22,0,0.22,5812.26,0.9999621504073992,0.22,0,0,0,415.64,0,9,0,6227.4400000000005,0.0,0.0,0,0,,,5812.6,6227.4400000000005,,96,1.75234201441673,33556312064,415.18,415.18,0.12,,,,,,64-1000000-4-oltp_read_only-0.2,190,88,"[0.87193997 0.00462632 0.00470529 0.00464    0.00440107 0.00440107
 0.0048027  0.0044211  0.00437463 0.00560091 0.00586725 0.0802197 ]",8738200.16,8735849.82,7571.12,5.14,94.67599999997763
10,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,414.7,95.24249999999834,2.19340909090831,0,0,0.092045454545469,0,0.5468181818185888,1.7184090909077403,3.4899550777840744,7019917312,201146351616,0,0,0.0035221575185927,0,0,0,87.8049609635113,6612.16,64186,0,1350,0,49.32000000029802,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,0.4000000000000001,0,0,0.0,0,0.0,0,0,226.20000000000005,0.0,113.30000000000004,0.0,0.0,171056.82,0.0,1051623424,16777216,8388608,169068.92,16541149.56,79,2,16384,283,4000,0,0,1652.78,0,0.6,0,0,0,82637.7,826.4,68,2000,0,0.2,0,0.2,5784.4800000000005,0.9999654259181148,0.2,0,0,0,413.58,0,9,0,6197.66,0.0,0.0,0,0,,,5784.78,6197.64,,216,1.7523435116953978,33556340736,413.16,413.16,0.1,,,,,,64-1000000-4-oltp_read_only-0.2,190,88,"[0.87193997 0.00462632 0.00470529 0.00464    0.00440107 0.00440107
 0.0048027  0.0044211  0.00437463 0.00560091 0.00586725 0.0802197 ]",8709221.379999999,8706876.799999999,7531.66,5.74,94.16600000020117
11,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,417.47,95.22727272727276,2.207272727273284,0,0,0.0929545454545591,0,0.5302272727274882,1.7199999999990452,3.4868435682042502,7013658624,201146351616,0,0,0.0035219588597926,0,0,0,87.81239971911084,6678.360000000001,63700,0,1836,0,62.74000000208616,0,0,5.666666666666667,5,6,5,5,151,0,171.48628,0,1373.0590125,0,0,514.95619,0,2730.4515,0,0,803.1953825,309.3517,911.692285,0.0,0.0,172745.56,0.0,1043660800,16777216,8388608,170765.32,16706058.62,79,2,16384,283,4000,0,0,1669.12,0,0.68,0,0,0,83453.02,834.5600000000001,68,2000,0,0.22,0,0.22,5842.2,0.999962344370997,0.22,0,0,0,417.74,0,9,0,6259.5,0.0,0.0,0,0,,,5842.54,6259.4800000000005,,336,1.750586776023677,33522700288,417.28,417.28,0.12,,,,,,64-1000000-4-oltp_read_only-0.2,190,88,"[0.87193997 0.00462632 0.00470529 0.00464    0.00440107 0.00440107
 0.0048027  0.0044211  0.00437463 0.00560091 0.00586725 0.0802197 ]",8795698.98,8793366.51,7591.66,6.38,94.8179999999702
12,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,473.47,95.17272727276114,2.049545454545626,0,0,0.1040909090909384,0,0.5522727272726384,1.8600000000034345,3.498409912715644,7036923904,201146351616,0,0,0.0035218004406463,0,0,0,89.47873185172486,7572.42,64019,0,1517,0,66.69999999925493,0,0,5.666666666666667,5,6,5,5,151,0,344.86,0,2758.08,0,0,1033.92,0,5508.0,0,0,1616.08,620.2,1834.28,0.0,0.0,195895.78,0.0,1048887296,16777216,8388608,193612.08,18942511.06,79,2,16384,371,4000,0,0,1892.82,0,0.54,0,0,0,94630.64,946.4,111,2000,0,0.18,0,0.18,6624.7,0.999972829696538,0.18,0,0,0,473.56,0,9,0,7097.860000000001,0.0,0.0,0,0,,,6624.9800000000005,7097.88,,97,1.7523450089740655,33556369408,473.18,473.18,,,0.1,,,,64-1000000-4-oltp_read_only-0.6,190,88,"[0.81992943 0.01083924 0.00992679 0.01035883 0.01105693 0.01136511
 0.01067759 0.01009028 0.01099041 0.01009028 0.01009028 0.07458483]",9961285.13,9958950.08,7088.18,4.24,93.00600000005215
13,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,484.31,95.18818181846292,2.010681818181514,0,0,0.1047727272727302,0,0.5470454545456028,1.8972727272727905,3.4839112555112166,7007760384,201146351616,0,0,0.0035215591211662,0,0,0,89.74118508026181,7716.76,62889,0,2647,0,68.96000000089406,0,0,5.833333333333333,5,6,5,5,151,0,845.5117670833333,0,6765.090990833333,0,0,2536.754609166667,0,13533.371915000002,0,0,3624.362379166667,1521.8573820833335,4331.789907083334,0.0,0.0,199632.38,0.0,1030373376,16777216,8388608,197302.5,19304647.22,79,2,16384,282,4000,0,0,1928.84,0,0.6,0,0,0,96442.72,964.44,68,2000,0,0.2,0,0.2,6750.84,0.9999703749348248,0.2,0,0,0,482.62,0,9,0,7233.08,0.0,0.0,0,0,,,6751.14,7233.06,,217,1.7523445811801652,33556361216,482.22,482.22,,,,0.1,,,64-1000000-4-oltp_read_only-0.6,190,88,"[0.81992943 0.01083924 0.00992679 0.01035883 0.01105693 0.01136511
 0.01067759 0.01009028 0.01099041 0.01009028 0.01009028 0.07458483]",10144884.98,10142552.57,6949.360000000001,5.0600000000000005,92.49799999967216
